get switch value,get base input,get arm input,get gripper input,publish base,publish arm,publish gripper,publish servo,,
4.05E-06,1.12E-05,2.60E-05,4.96E-05,0.000183344,0.00014329,0.012580156,4.77E-06,,
3.58E-06,1.17E-05,2.60E-05,5.05E-05,0.000181913,0.000124931,0.017887115,3.81E-06,,
3.58E-06,1.12E-05,2.34E-05,4.84E-05,0.000232458,0.000133276,0.01906991,5.72E-06,,
3.81E-06,1.14E-05,2.96E-05,4.89E-05,0.000190973,0.000154734,0.013586521,4.53E-06,,
4.53E-06,1.14E-05,2.62E-05,4.94E-05,0.000187397,0.000207901,0.015927315,5.25E-06,,
3.81E-06,1.31E-05,2.65E-05,5.05E-05,0.000186682,0.000221729,0.019411802,2.86E-06,,
0.001966476,1.24E-05,2.72E-05,5.36E-05,0.000186443,0.000130892,0.014648438,4.77E-06,,
3.34E-06,1.43E-05,2.79E-05,5.44E-05,0.000280142,0.000484943,0.012627602,5.48E-06,,
3.81E-06,1.19E-05,2.55E-05,5.10E-05,0.000181437,0.000170708,0.01256156,5.01E-06,,
3.58E-06,1.26E-05,2.79E-05,5.36E-05,0.00019145,0.000125408,0.014403582,5.72E-06,,
4.74E-05,1.12E-05,2.29E-05,4.86E-05,0.000180483,0.000124693,0.014605522,4.77E-06,,
1.19E-05,1.48E-05,3.53E-05,5.46E-05,0.000732422,0.000765085,0.014363766,4.77E-06,,
3.81E-06,1.24E-05,2.67E-05,5.20E-05,0.000189543,0.000152349,0.024292707,4.05E-06,,
2.62E-06,1.22E-05,2.69E-05,5.08E-05,0.000189543,0.000212908,0.017333746,4.77E-06,,
2.62E-06,1.31E-05,2.84E-05,5.46E-05,0.000257254,0.000161648,0.016829014,5.25E-06,,
4.05E-06,1.48E-05,3.22E-05,6.18E-05,0.000271797,0.001090527,0.012646914,6.20E-06,,
4.05E-06,1.53E-05,3.43E-05,5.60E-05,0.000245094,0.000206947,0.016672134,5.25E-06,,
3.34E-06,1.19E-05,2.69E-05,5.03E-05,0.000184536,0.000127077,0.016024113,4.05E-06,,
3.91E-05,1.38E-05,2.74E-05,5.20E-05,0.000195503,0.000154495,0.018081665,5.01E-06,,
3.34E-06,1.24E-05,2.65E-05,5.10E-05,0.00018692,0.000126839,0.018541574,4.53E-06,,
3.10E-06,1.10E-05,2.53E-05,4.63E-05,0.000172377,0.000128031,0.016391039,4.77E-06,,
3.10E-06,1.19E-05,2.72E-05,5.05E-05,0.000223637,0.000131607,0.016424894,3.58E-06,,
3.81E-06,1.48E-05,7.49E-05,6.87E-05,0.000302076,0.000246286,0.014441729,4.05E-06,,
4.53E-06,1.43E-05,3.00E-05,5.72E-05,0.000253201,0.000323057,0.011478424,5.72E-06,,
4.05E-06,1.10E-05,2.86E-05,5.15E-05,0.000206232,0.000169516,0.010410547,4.53E-06,,
3.81E-06,1.26E-05,2.69E-05,5.03E-05,0.000188589,0.000148058,0.020535946,5.01E-06,,
0.001952171,1.38E-05,3.08E-05,5.75E-05,0.000291586,0.000226974,0.017816782,4.53E-06,,
3.81E-06,1.34E-05,2.77E-05,5.22E-05,0.000200272,0.00017643,0.017171383,5.96E-06,,
3.34E-06,1.12E-05,2.38E-05,4.27E-05,0.000391006,0.000808954,0.013387918,5.01E-06,,
2.86E-06,1.26E-05,2.79E-05,5.41E-05,0.000204325,0.000153542,0.015459776,4.77E-06,,
4.29E-06,1.48E-05,3.27E-05,6.27E-05,0.00026536,0.000181437,0.009522676,5.48E-06,,
3.81E-06,1.22E-05,2.65E-05,5.03E-05,0.000236273,0.000133991,0.013354301,5.25E-06,,
4.29E-06,1.60E-05,3.50E-05,6.25E-05,0.000227928,0.000131369,0.022283316,4.29E-06,,
9.06E-06,1.29E-05,2.93E-05,5.29E-05,0.000195742,0.000140905,0.017318726,4.53E-06,,
3.58E-06,1.31E-05,2.79E-05,5.53E-05,0.000227451,0.000196457,0.016623259,4.05E-06,,
3.81E-06,1.17E-05,2.81E-05,5.27E-05,0.000207186,0.00014925,0.017180681,3.58E-06,,
3.10E-06,1.19E-05,1.93E-05,4.34E-05,0.000178576,0.000146389,0.019728661,5.01E-06,,
3.58E-06,1.34E-05,2.98E-05,5.01E-05,0.000208616,0.000138044,0.016307831,5.72E-06,,
3.81E-06,7.34E-05,2.84E-05,5.03E-05,0.000183105,0.0001297,0.013605595,4.53E-06,,
3.81E-06,1.26E-05,2.72E-05,5.34E-05,0.000205517,0.000154018,0.016760588,4.77E-06,,
3.10E-06,1.14E-05,1.86E-05,4.34E-05,0.000177145,0.000124931,0.018673658,5.01E-06,,
4.05E-06,1.12E-05,2.77E-05,5.08E-05,0.000191927,0.000141144,0.015439987,4.29E-06,,
3.81E-06,1.24E-05,2.65E-05,5.17E-05,0.000190973,0.000132322,0.017632961,4.77E-06,,
4.53E-06,1.22E-05,2.69E-05,5.13E-05,0.000187874,0.000125647,0.01143384,4.53E-06,,
3.34E-06,1.10E-05,1.91E-05,4.48E-05,0.000174761,0.000123501,0.013008118,5.25E-06,,
3.34E-06,1.29E-05,2.98E-05,5.10E-05,0.000211716,0.000146866,0.008490562,4.53E-06,,
0.001866579,1.31E-05,2.91E-05,5.63E-05,0.00018549,0.000147343,0.01440382,5.48E-06,,
2.62E-06,1.26E-05,2.62E-05,5.25E-05,0.000188589,0.000128269,0.010459661,4.05E-06,,
3.10E-06,1.14E-05,2.24E-05,4.43E-05,0.000228882,0.000189781,0.052201986,7.15E-06,,
6.20E-06,2.10E-05,4.96E-05,9.70E-05,0.000427008,0.000898361,0.039219141,8.34E-06,,
7.39E-06,2.10E-05,5.27E-05,9.06E-05,0.000383139,0.000920534,0.057008505,1.03E-05,,
6.91E-06,2.10E-05,5.17E-05,9.61E-05,0.000501394,0.000569582,0.04508853,6.68E-06,,
6.68E-06,2.00E-05,4.39E-05,9.06E-05,0.000374794,0.000329018,0.036714792,1.07E-05,,
6.68E-06,2.07E-05,5.82E-05,0.000103712,0.000687361,0.000397205,0.043294191,3.81E-06,,
2.38E-06,1.19E-05,2.69E-05,4.98E-05,0.000190496,0.000126362,0.041258097,3.34E-06,,
2.86E-06,1.24E-05,2.57E-05,5.15E-05,0.000381947,0.000243664,0.027938604,3.81E-06,,
2.62E-06,1.07E-05,2.72E-05,5.29E-05,0.000228167,0.000196934,0.044069529,3.81E-06,,
2.86E-06,1.24E-05,2.57E-05,5.10E-05,0.000246525,0.000148535,0.014981985,5.48E-06,,
4.77E-06,1.19E-05,2.55E-05,4.51E-05,0.000250578,0.000304222,0.015313625,5.01E-06,,
3.81E-06,1.19E-05,2.57E-05,5.03E-05,0.000192165,0.000153065,0.01747632,4.29E-06,,
0.001879454,1.26E-05,2.81E-05,5.67E-05,0.000202656,0.000216961,0.017904043,4.05E-06,,
2.62E-06,1.22E-05,2.69E-05,9.99E-05,0.000191689,0.00014782,0.023483515,2.86E-06,,
2.38E-06,1.14E-05,2.15E-05,4.27E-05,0.000179768,0.000145435,0.01360178,4.29E-06,,
3.10E-06,1.29E-05,2.81E-05,5.34E-05,0.000206709,0.000254393,0.024323463,5.72E-06,,
3.34E-06,1.22E-05,2.72E-05,5.05E-05,0.000509739,0.000726461,0.0191679,5.01E-06,,
3.10E-06,1.24E-05,2.62E-05,5.13E-05,0.000186682,0.000145674,0.019010544,4.77E-06,,
3.34E-06,1.12E-05,1.86E-05,4.39E-05,0.000181198,0.000146151,0.017305851,4.77E-06,,
3.34E-06,1.26E-05,2.77E-05,5.15E-05,0.000258923,0.00069809,0.012392282,4.53E-06,,
4.29E-06,1.24E-05,2.65E-05,4.96E-05,0.000189781,0.00014329,0.017377853,4.77E-06,,
3.81E-06,1.19E-05,2.60E-05,5.01E-05,0.00018549,0.000145435,0.019630432,4.05E-06,,
2.86E-06,1.14E-05,2.48E-05,4.98E-05,0.000251532,0.000205517,0.015142918,5.72E-06,,
3.81E-06,1.57E-05,3.36E-05,6.10E-05,0.00026679,0.000254154,0.020381927,5.48E-06,,
3.81E-06,1.57E-05,3.31E-05,6.32E-05,0.000298738,0.000468969,0.016983271,5.96E-06,,
4.29E-06,1.67E-05,3.41E-05,6.65E-05,0.000381708,0.00032258,0.013845921,5.72E-06,,
4.53E-06,1.41E-05,3.24E-05,6.53E-05,0.000264645,0.000317097,0.013288736,5.72E-06,,
3.10E-06,1.29E-05,2.46E-05,5.60E-05,0.000290871,0.000549078,0.015952587,6.20E-06,,
4.05E-06,1.67E-05,3.70E-05,6.34E-05,0.000361681,0.000677347,0.019667625,6.44E-06,,
4.05E-06,1.69E-05,3.77E-05,6.84E-05,0.000365973,0.000283718,0.015899181,5.25E-06,,
4.05E-06,1.65E-05,3.62E-05,6.84E-05,0.000359774,0.000568867,0.012576342,6.20E-06,,
3.81E-06,1.48E-05,2.96E-05,5.63E-05,0.00026083,0.000256062,0.018366814,5.72E-06,,
0.004214048,1.43E-05,3.19E-05,5.84E-05,0.001108885,0.003170967,0.013696432,6.68E-06,,
4.05E-06,1.74E-05,3.58E-05,6.84E-05,0.000265837,0.000286818,0.016057253,4.53E-06,,
3.58E-06,1.38E-05,2.81E-05,5.56E-05,0.00022769,0.0001719,0.011429787,5.25E-06,,
3.34E-06,1.19E-05,2.29E-05,4.89E-05,0.000190258,0.000144958,0.023995638,5.01E-06,,
3.10E-06,1.26E-05,2.77E-05,5.25E-05,0.000204563,0.000169039,0.015408993,5.25E-06,,
2.86E-06,1.26E-05,2.69E-05,5.36E-05,0.00019598,0.000169516,0.016940117,4.53E-06,,
5.25E-06,1.24E-05,3.36E-05,5.25E-05,0.000200748,0.000152349,0.010778904,6.44E-06,,
3.34E-06,1.19E-05,2.24E-05,4.46E-05,0.000183582,0.000145197,0.022859573,4.29E-06,,
3.58E-06,1.31E-05,8.80E-05,6.03E-05,0.000958204,0.00049901,0.01195097,4.77E-06,,
3.34E-06,1.19E-05,2.74E-05,5.36E-05,0.000231504,0.000183344,0.018801689,4.77E-06,,
3.58E-06,1.24E-05,2.65E-05,5.29E-05,0.000203133,0.00014925,0.011650801,5.48E-06,,
3.81E-06,1.29E-05,2.62E-05,5.25E-05,0.00019598,0.000146389,0.015171289,5.48E-06,,
3.34E-06,1.12E-05,1.84E-05,4.41E-05,0.00023675,0.000169516,0.009934425,5.25E-06,,
5.34E-05,1.45E-05,2.96E-05,5.39E-05,0.00020051,0.000170946,0.011181116,4.05E-06,,
3.81E-06,1.17E-05,2.65E-05,5.15E-05,0.000193834,0.000215292,0.011950493,4.53E-06,,
3.34E-06,1.17E-05,2.67E-05,5.15E-05,0.00025034,0.000171661,0.016862869,4.29E-06,,
3.34E-06,1.14E-05,2.19E-05,4.79E-05,0.000289917,0.000153303,0.010112047,5.25E-06,,
4.29E-06,1.45E-05,3.05E-05,5.22E-05,0.000294924,0.000374556,0.012852907,4.77E-06,,
3.81E-06,1.19E-05,2.67E-05,5.20E-05,0.000193596,0.000149727,0.013112545,3.34E-06,,
3.10E-06,1.14E-05,2.34E-05,4.91E-05,0.000184298,0.000151873,0.015398502,3.34E-06,,
3.58E-06,1.10E-05,2.15E-05,4.72E-05,0.000180721,0.000127077,0.015142441,5.25E-06,,
0.002685547,1.45E-05,3.22E-05,5.72E-05,0.000208616,0.0001688,0.011665344,5.48E-06,,
3.34E-06,1.36E-05,2.79E-05,5.48E-05,0.000207663,0.000152111,0.012295246,4.29E-06,,
4.05E-06,3.91E-05,3.31E-05,6.06E-05,0.000296831,0.000184774,0.015760422,6.20E-06,,
3.10E-06,1.12E-05,2.34E-05,4.86E-05,0.000192881,0.000145912,0.017509222,4.77E-06,,
3.34E-06,1.29E-05,2.72E-05,5.22E-05,0.000209093,0.00024128,0.010858297,4.53E-06,,
3.58E-06,1.22E-05,2.86E-05,7.49E-05,0.000205755,0.000215769,0.013761282,4.29E-06,,
4.15E-05,1.26E-05,2.81E-05,7.44E-05,0.000207186,0.00015378,0.019640446,3.81E-06,,
2.62E-06,1.14E-05,2.48E-05,6.79E-05,0.000189543,0.000148535,0.01575613,5.25E-06,,
3.10E-06,1.07E-05,2.22E-05,6.25E-05,0.000283003,0.000259876,0.013449907,4.53E-06,,
3.58E-06,1.36E-05,3.15E-05,7.30E-05,0.000211239,0.000174761,0.018647671,5.25E-06,,
3.10E-06,1.29E-05,3.03E-05,7.06E-05,0.000208855,0.000157833,0.01299572,3.34E-06,,
3.34E-06,1.22E-05,2.36E-05,7.13E-05,0.000196695,0.000148535,0.018321276,4.29E-06,,
3.34E-06,1.12E-05,2.03E-05,6.18E-05,0.000178099,0.000132561,0.019599438,5.01E-06,,
3.10E-06,1.26E-05,2.53E-05,6.15E-05,0.000206709,0.000155687,0.019696951,4.53E-06,,
2.86E-06,1.19E-05,2.67E-05,6.87E-05,0.00018549,0.000127554,0.026165485,5.25E-06,,
2.62E-06,1.22E-05,2.50E-05,6.87E-05,0.000182152,0.000127077,0.015556812,5.25E-06,,
3.34E-06,1.22E-05,2.26E-05,6.58E-05,0.000191689,0.000130653,0.014864206,5.48E-06,,
5.25E-06,1.22E-05,3.53E-05,6.99E-05,0.000188351,0.000148058,0.010468721,5.25E-06,,
3.58E-06,1.34E-05,3.03E-05,7.10E-05,0.000213623,0.000235319,0.013230085,4.29E-06,,
3.10E-06,1.29E-05,2.77E-05,7.01E-05,0.000193834,0.00021863,0.015145779,5.01E-06,,
0.002014637,1.29E-05,2.77E-05,7.18E-05,0.000190973,0.000130415,0.013891935,4.53E-06,,
5.01E-06,1.57E-05,3.17E-05,7.22E-05,0.000216484,0.000621557,0.012031555,4.29E-06,,
3.34E-06,1.26E-05,2.77E-05,7.10E-05,0.000188112,0.000124931,0.011859894,4.77E-06,,
3.58E-06,1.22E-05,2.50E-05,6.96E-05,0.00018692,0.000152349,0.111437798,4.53E-06,,
2.38E-06,1.05E-05,2.69E-05,6.41E-05,0.000236511,0.000146389,0.016592741,5.25E-06,,
2.62E-06,1.34E-05,2.67E-05,6.77E-05,0.000189066,0.000360012,0.015427351,4.53E-06,,
8.82E-06,2.55E-05,5.84E-05,0.000149012,0.002112627,0.000401258,0.026423931,8.34E-06,,
6.44E-06,2.15E-05,5.20E-05,0.000126362,0.000563383,0.000399113,0.024277925,9.54E-06,,
6.68E-06,2.17E-05,4.96E-05,0.000124216,0.000390291,0.000478745,0.029021025,6.91E-06,,
6.68E-06,2.00E-05,5.08E-05,0.00012207,0.000425816,0.000406981,0.020484924,9.06E-06,,
7.39E-06,2.26E-05,5.22E-05,0.000127554,0.000375271,0.000324249,0.023680449,9.30E-06,,
7.15E-06,2.34E-05,5.03E-05,0.000228643,0.000384092,0.000366688,0.02273941,7.63E-06,,
7.15E-06,2.10E-05,4.65E-05,0.000120163,0.000367641,0.000337601,0.014505625,1.10E-05,,
8.58E-06,2.46E-05,5.53E-05,0.000132799,0.000416279,0.000550985,0.01193285,8.34E-06,,
3.34E-06,1.34E-05,3.00E-05,7.65E-05,0.000212431,0.000312328,0.012988567,4.77E-06,,
3.81E-06,1.36E-05,2.79E-05,7.06E-05,0.000216484,0.000153542,0.014441013,2.86E-06,,
